epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1764,1.12775,1.95365,1.24415,0.68211,0.66601,0.70145,0.46138,1.15513,1.4103,1.35743,0.000368803,0.000368803,0.000368803
2,132.273,1.23117,1.41141,1.28437,0.71604,0.5483,0.6626,0.42312,1.24461,1.43697,1.3554,0.00072999,0.00072999,0.00072999
3,196.615,1.24966,1.38318,1.29728,0.69494,0.66075,0.71604,0.47094,1.20212,1.62838,1.3149,0.00108201,0.00108201,0.00108201
4,260.925,1.23969,1.31763,1.2893,0.78796,0.65439,0.73039,0.48243,1.18702,1.45246,1.28826,0.00106975,0.00106975,0.00106975
5,325.237,1.19417,1.20903,1.25674,0.73625,0.71222,0.75553,0.50838,1.19015,1.17239,1.28534,0.00105601,0.00105601,0.00105601
6,389.655,1.15364,1.12853,1.22723,0.75782,0.76918,0.81119,0.55201,1.11563,1.0113,1.2465,0.00104226,0.00104226,0.00104226
7,453.927,1.11612,1.06364,1.20895,0.77733,0.73186,0.79308,0.54013,1.09771,1.03649,1.22506,0.00102851,0.00102851,0.00102851
8,518.324,1.08898,1.01645,1.18623,0.80232,0.70336,0.8069,0.57033,1.07297,1.11719,1.21155,0.00101476,0.00101476,0.00101476
9,582.679,1.06536,0.98722,1.18442,0.79824,0.75639,0.82615,0.56784,1.06266,0.95983,1.20386,0.00100101,0.00100101,0.00100101
10,646.958,1.04343,0.92807,1.15787,0.79564,0.77163,0.83797,0.58823,1.0247,0.92165,1.18195,0.000987262,0.000987262,0.000987262
11,711.331,1.02085,0.91428,1.15151,0.84726,0.80098,0.84706,0.59507,1.03645,0.83337,1.18728,0.000973514,0.000973514,0.000973514
12,775.468,1.00686,0.86413,1.13784,0.80969,0.79774,0.84388,0.59589,1.00715,0.8158,1.15753,0.000959765,0.000959765,0.000959765
13,839.859,0.98415,0.83956,1.12493,0.83155,0.81822,0.87589,0.6373,0.97363,0.82102,1.13414,0.000946016,0.000946016,0.000946016
14,904.077,0.9743,0.81894,1.11971,0.84691,0.83228,0.88075,0.64606,0.962,0.7489,1.13022,0.000932268,0.000932268,0.000932268
15,968.417,0.94857,0.79781,1.10722,0.82626,0.82747,0.88541,0.64025,0.97495,0.78707,1.13115,0.000918519,0.000918519,0.000918519
16,1032.64,0.95011,0.78748,1.10075,0.81439,0.79729,0.86745,0.64008,0.93877,0.80072,1.1007,0.000904771,0.000904771,0.000904771
17,1096.91,0.93118,0.76834,1.09046,0.89446,0.78345,0.88091,0.64409,0.96786,0.73685,1.13325,0.000891022,0.000891022,0.000891022
18,1161.23,0.91405,0.74223,1.08649,0.84499,0.81579,0.87155,0.63096,0.9734,0.76055,1.14868,0.000877273,0.000877273,0.000877273
19,1225.31,0.89861,0.71697,1.07482,0.8469,0.83649,0.88087,0.64714,0.9533,0.69933,1.11106,0.000863525,0.000863525,0.000863525
20,1289.56,0.89681,0.72582,1.0799,0.87756,0.80768,0.88977,0.65438,0.93975,0.70287,1.12441,0.000849776,0.000849776,0.000849776
21,1353.76,0.87782,0.68803,1.07214,0.85917,0.84701,0.89647,0.66932,0.92156,0.67828,1.0945,0.000836027,0.000836027,0.000836027
22,1417.84,0.86772,0.67377,1.05846,0.86122,0.84788,0.89359,0.66655,0.91544,0.68231,1.08819,0.000822279,0.000822279,0.000822279
23,1481.87,0.86802,0.67723,1.06155,0.85648,0.81679,0.88189,0.65313,0.92442,0.70082,1.0896,0.00080853,0.00080853,0.00080853
24,1545.94,0.85941,0.65544,1.04818,0.86331,0.84695,0.89681,0.67443,0.89648,0.66469,1.08313,0.000794782,0.000794782,0.000794782
25,1610.07,0.84817,0.64738,1.04624,0.88825,0.83722,0.89644,0.66413,0.91219,0.65684,1.10199,0.000781033,0.000781033,0.000781033
26,1674.23,0.84364,0.64867,1.05258,0.84813,0.83612,0.89634,0.6681,0.9179,0.66196,1.095,0.000767284,0.000767284,0.000767284
27,1738.4,0.81819,0.61639,1.0323,0.85983,0.86199,0.89819,0.67072,0.91309,0.64882,1.087,0.000753536,0.000753536,0.000753536
28,1802.49,0.81229,0.61421,1.03194,0.91108,0.81633,0.89788,0.67742,0.9111,0.64997,1.09767,0.000739787,0.000739787,0.000739787
29,1866.55,0.81358,0.62156,1.03241,0.85096,0.88031,0.90363,0.6805,0.90063,0.63701,1.09433,0.000726038,0.000726038,0.000726038
30,1930.76,0.80043,0.60437,1.02649,0.88366,0.83899,0.90345,0.67696,0.89833,0.65091,1.07477,0.00071229,0.00071229,0.00071229
31,1994.83,0.79729,0.59875,1.02373,0.89471,0.82981,0.89509,0.67904,0.89444,0.63819,1.08124,0.000698541,0.000698541,0.000698541
32,2058.95,0.7871,0.59191,1.01622,0.87054,0.86676,0.90852,0.6802,0.90045,0.63462,1.07036,0.000684793,0.000684793,0.000684793
33,2122.97,0.77914,0.57186,1.01435,0.9083,0.82578,0.90443,0.68222,0.89863,0.63547,1.08772,0.000671044,0.000671044,0.000671044
34,2187.1,0.77004,0.56567,1.0058,0.86239,0.86458,0.90769,0.68955,0.86424,0.60604,1.06214,0.000657295,0.000657295,0.000657295
35,2251.15,0.76948,0.56879,1.01245,0.89577,0.84775,0.90986,0.69402,0.87966,0.61704,1.06863,0.000643547,0.000643547,0.000643547
36,2315.19,0.75856,0.56879,1.00754,0.87677,0.87302,0.91724,0.70269,0.87137,0.58473,1.06771,0.000629798,0.000629798,0.000629798
37,2379.08,0.74909,0.53962,1.00031,0.9092,0.86349,0.91566,0.69229,0.87446,0.60244,1.06506,0.000616049,0.000616049,0.000616049
38,2442.94,0.73711,0.53471,0.99135,0.90446,0.85501,0.91658,0.70163,0.8773,0.58928,1.08541,0.000602301,0.000602301,0.000602301
39,2506.9,0.74746,0.53979,0.99632,0.90552,0.84893,0.90727,0.70216,0.87139,0.58716,1.06971,0.000588552,0.000588552,0.000588552
40,2570.88,0.73316,0.5284,0.99022,0.89961,0.83691,0.90489,0.69865,0.85303,0.60368,1.06434,0.000574804,0.000574804,0.000574804
41,2634.86,0.72042,0.51683,0.98939,0.88204,0.85535,0.90437,0.68866,0.89068,0.59164,1.08099,0.000561055,0.000561055,0.000561055
42,2698.88,0.72091,0.5213,0.98325,0.8808,0.86542,0.90654,0.70272,0.8668,0.60661,1.05327,0.000547306,0.000547306,0.000547306
43,2762.67,0.71124,0.50666,0.98114,0.88052,0.85824,0.9076,0.69588,0.85971,0.59832,1.06034,0.000533558,0.000533558,0.000533558
44,2826.51,0.70514,0.49894,0.97698,0.89626,0.83306,0.90979,0.69534,0.86004,0.58412,1.06467,0.000519809,0.000519809,0.000519809
45,2890.25,0.69384,0.48493,0.96964,0.89969,0.84906,0.90831,0.6994,0.87105,0.58306,1.07329,0.00050606,0.00050606,0.00050606
46,2954.1,0.69174,0.48954,0.97179,0.90079,0.85305,0.91683,0.70637,0.86556,0.56584,1.06313,0.000492312,0.000492312,0.000492312
47,3017.89,0.68349,0.48267,0.96794,0.8834,0.86175,0.91185,0.70271,0.84581,0.57023,1.03986,0.000478563,0.000478563,0.000478563
48,3082.04,0.67231,0.46837,0.96271,0.90433,0.85014,0.91326,0.70829,0.85645,0.58457,1.04859,0.000464815,0.000464815,0.000464815
49,3146.09,0.67067,0.47708,0.96517,0.88405,0.86445,0.90857,0.6932,0.87012,0.59531,1.07937,0.000451066,0.000451066,0.000451066
50,3210.02,0.66266,0.47511,0.96484,0.90327,0.86527,0.90765,0.70296,0.86459,0.58208,1.0643,0.000437317,0.000437317,0.000437317
