epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5063,1.18111,2.47261,1.25565,0.67877,0.56447,0.63063,0.42028,1.15801,1.76777,1.29211,0.000368803,0.000368803,0.000368803
2,94.2904,1.19917,1.71978,1.26088,0.50917,0.59392,0.49192,0.30742,1.21575,2.80224,1.31497,0.00072999,0.00072999,0.00072999
3,139.389,1.20985,1.49896,1.27184,0.66695,0.6459,0.6837,0.43765,1.21278,1.62558,1.33187,0.00108201,0.00108201,0.00108201
4,183.854,1.19597,1.34876,1.26267,0.75278,0.68292,0.77083,0.52051,1.09442,1.31493,1.22969,0.00106975,0.00106975,0.00106975
5,228.275,1.15003,1.22029,1.23729,0.80295,0.70015,0.78828,0.54302,1.08214,1.0681,1.22614,0.00105601,0.00105601,0.00105601
6,272.661,1.1166,1.13253,1.2161,0.80434,0.69269,0.79811,0.56264,1.06498,1.06453,1.23759,0.00104226,0.00104226,0.00104226
7,316.62,1.08111,1.05025,1.19924,0.78524,0.74851,0.81719,0.58819,1.01732,0.99777,1.17511,0.00102851,0.00102851,0.00102851
8,360.936,1.06259,1.01544,1.17923,0.80283,0.78146,0.83289,0.59457,0.99049,0.90309,1.15336,0.00101476,0.00101476,0.00101476
9,405.184,1.04856,0.99048,1.17576,0.80207,0.79936,0.84703,0.60738,0.97878,0.86545,1.14914,0.00100101,0.00100101,0.00100101
10,453.718,1.02521,0.93517,1.15635,0.84123,0.76078,0.85791,0.608,0.99928,0.84489,1.15499,0.000987262,0.000987262,0.000987262
11,501.259,1.01137,0.92307,1.15433,0.84199,0.80631,0.85549,0.62739,0.96025,0.82393,1.12479,0.000973514,0.000973514,0.000973514
12,548.51,0.98599,0.87412,1.13162,0.82999,0.79493,0.86544,0.61617,0.964,0.85858,1.13825,0.000959765,0.000959765,0.000959765
13,595.823,0.97109,0.84551,1.12486,0.86618,0.76127,0.87122,0.63712,0.95371,0.83259,1.12403,0.000946016,0.000946016,0.000946016
14,642.986,0.97679,0.83762,1.13118,0.81606,0.79988,0.8486,0.6188,0.95594,0.84275,1.12976,0.000932268,0.000932268,0.000932268
15,690.012,0.94788,0.80235,1.11424,0.8445,0.77353,0.86217,0.62852,0.93468,0.8304,1.10835,0.000918519,0.000918519,0.000918519
16,737.525,0.95419,0.80661,1.1104,0.83185,0.8217,0.86317,0.64204,0.92812,0.76741,1.10405,0.000904771,0.000904771,0.000904771
17,785.937,0.92402,0.77748,1.0938,0.88505,0.76596,0.86392,0.62643,0.95665,0.77239,1.12359,0.000891022,0.000891022,0.000891022
18,834.064,0.92312,0.76021,1.09807,0.87962,0.78615,0.86417,0.63993,0.93322,0.75324,1.14433,0.000877273,0.000877273,0.000877273
