epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.5421,1.5326,3.40901,3.66847,1.50715,0.00347,0.73667,0.14253,0.06148,0.00292,0.62111,0.09506,0.03741,1.4537,3.89796,3.50658,1.501,0.000540231,0.000540231,0.000540231
2,14.5109,1.46518,2.7866,2.9956,1.35604,0.21886,0.10333,0.11014,0.06057,0.2426,0.10333,0.13404,0.07671,1.68785,3.07552,3.15547,1.73214,0.00108505,0.00108505,0.00108505
3,20.5132,1.4328,2.58518,2.67444,1.35965,0.25162,0.33444,0.22518,0.1259,0.11989,0.09556,0.02664,0.00697,1.5711,7.13056,3.07234,1.51103,0.00161886,0.00161886,0.00161886
4,26.4353,1.42644,2.48904,2.50226,1.37402,0.35969,0.29111,0.23653,0.11561,0.44836,0.35889,0.30473,0.11507,1.5744,3.16586,3.28327,1.56859,0.00161749,0.00161749,0.00161749
5,32.2543,1.35657,2.28109,2.30435,1.28971,0.42894,0.25111,0.26071,0.09878,0.42894,0.25111,0.25384,0.12139,1.86731,2.91449,4.47671,1.98584,0.00160099,0.00160099,0.00160099
6,38.147,1.29985,2.16901,2.03659,1.23104,0.24901,0.38667,0.23787,0.11518,0.26015,0.40667,0.23563,0.11545,1.60234,2.86502,6.45106,1.55522,0.00158448,0.00158448,0.00158448
7,43.9709,1.21489,2.04653,1.98089,1.21971,0.23553,0.37132,0.27258,0.15413,0.23553,0.37132,0.26848,0.15299,1.50407,2.23616,5.19669,1.49787,0.00156798,0.00156798,0.00156798
8,49.905,1.21728,2.01284,1.79608,1.20801,0.65579,0.38804,0.44443,0.23818,0.67822,0.40511,0.42461,0.20598,1.53258,2.73994,2.43595,1.44819,0.00155148,0.00155148,0.00155148
9,55.7388,1.22329,2.03446,1.76157,1.1882,0.52297,0.46222,0.43366,0.2527,0.55974,0.47,0.42743,0.25246,1.48995,2.43809,2.29467,1.4422,0.00153497,0.00153497,0.00153497
10,61.5772,1.11719,2.02462,1.61109,1.1473,0.36005,0.41778,0.36512,0.22087,0.36772,0.45206,0.36768,0.20568,1.61617,2.49403,2.79284,1.55186,0.00151847,0.00151847,0.00151847
11,67.5199,1.13369,1.93925,1.56019,1.16218,0.42727,0.53444,0.45247,0.25499,0.51595,0.52063,0.46135,0.24807,1.49078,2.58966,2.13595,1.33814,0.00150197,0.00150197,0.00150197
12,73.4236,1.15178,1.82394,1.503,1.15258,0.76371,0.61023,0.68299,0.46436,0.76371,0.61023,0.68176,0.37778,1.24816,2.19002,1.76032,1.23063,0.00148546,0.00148546,0.00148546
13,79.2886,1.11314,1.81955,1.45482,1.13143,0.71261,0.47,0.54063,0.34583,0.74458,0.49,0.54572,0.29967,1.33446,2.94269,1.78012,1.26224,0.00146896,0.00146896,0.00146896
14,85.141,1.05748,1.75581,1.38258,1.10078,0.84932,0.62556,0.67585,0.43557,0.79904,0.58556,0.61817,0.35419,1.31197,2.74527,1.57233,1.27892,0.00145246,0.00145246,0.00145246
15,90.8863,1.05656,1.67037,1.40357,1.11102,0.78175,0.50556,0.58706,0.39282,0.8571,0.55333,0.6277,0.38348,1.36673,2.24734,1.61967,1.31393,0.00143595,0.00143595,0.00143595
16,96.7955,0.99407,1.62931,1.26056,1.07134,0.76682,0.59186,0.65664,0.42829,0.76682,0.59186,0.6551,0.43074,1.23989,1.98025,1.43834,1.26128,0.00141945,0.00141945,0.00141945
17,102.623,1.02131,1.65549,1.22168,1.06079,0.59996,0.61211,0.55128,0.39705,0.66199,0.66623,0.59021,0.38687,1.18893,2.2569,1.48239,1.2286,0.00140295,0.00140295,0.00140295
18,108.477,0.99629,1.69322,1.18671,1.0966,0.69032,0.48222,0.54038,0.38471,0.61298,0.65333,0.60589,0.37522,1.26175,2.19734,1.61167,1.27514,0.00138644,0.00138644,0.00138644
19,114.365,0.99323,1.63801,1.14892,1.06082,0.84021,0.53,0.63445,0.44602,0.83342,0.58556,0.67076,0.4147,1.17378,2.12538,1.41833,1.16823,0.00136994,0.00136994,0.00136994
20,120.265,0.87681,1.53035,1.08953,1.02832,0.70364,0.53523,0.59727,0.43476,0.78451,0.58957,0.65006,0.40746,1.18754,2.22967,1.46659,1.14941,0.00135344,0.00135344,0.00135344
21,126.118,0.94162,1.61251,1.12491,1.04331,0.65692,0.59247,0.59381,0.40503,0.85882,0.52635,0.61645,0.38897,1.2169,1.96727,1.49992,1.18716,0.00133693,0.00133693,0.00133693
22,131.999,0.91324,1.54454,1.08435,1.03519,0.6102,0.51658,0.57645,0.40005,0.66948,0.56556,0.61106,0.35335,1.25071,1.96227,1.53699,1.31337,0.00132043,0.00132043,0.00132043
23,137.789,0.93655,1.58417,1.04979,1.03291,0.88133,0.57466,0.70906,0.45109,0.85912,0.56688,0.70456,0.42429,1.23712,2.18016,1.3514,1.23242,0.00130393,0.00130393,0.00130393
24,143.621,0.895,1.45671,1.04275,1.03243,0.86484,0.59333,0.65253,0.43533,0.79272,0.66111,0.66183,0.3982,1.35239,2.62429,1.49284,1.30356,0.00128742,0.00128742,0.00128742
25,149.419,0.88915,1.4918,0.99873,1.02148,0.88678,0.52995,0.62942,0.43082,0.88678,0.52995,0.63397,0.4008,1.29917,2.39483,1.45365,1.31098,0.00127092,0.00127092,0.00127092
