epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3237,1.44891,3.08396,3.33015,1.63047,0.01655,0.08333,0.00598,0.00309,0.0074,0.05556,0.00294,0.00115,1.92083,8.94213,inf,2.76913,0.000540231,0.000540231,0.000540231
2,66.2482,1.61521,2.96306,2.94657,1.74571,0.00044,0.09556,0.00228,0.00023,0,0,0,0,nan,nan,nan,nan,0.00108505,0.00108505,0.00108505
3,98.7684,1.76212,3.04858,2.88263,1.81116,0.00233,0.39333,0.00286,0.00076,0,0,0,0,3.03794,170.613,inf,17.6058,0.00161886,0.00161886,0.00161886
4,131.892,1.7967,2.98157,2.77481,1.90329,0.00041,0.07556,0.0003,9e-05,0.00058,0.10333,0.00067,0.00015,4.07258,79.1893,inf,23.2956,0.00161749,0.00161749,0.00161749
5,165,1.7262,2.91433,2.58736,1.82613,0.00054,0.08778,0.00367,0.00108,0,0,0,0,4.24505,886.496,inf,37.9481,0.00160099,0.00160099,0.00160099
6,197.707,1.59723,2.74438,2.25433,1.66422,0.29596,0.06778,0.03496,0.01424,0.29266,0.04778,0.02944,0.02259,3.35241,6.49738,21.2604,3.50677,0.00158448,0.00158448,0.00158448
7,231.295,1.50345,2.60054,2.23535,1.64008,0.43079,0.06778,0.04349,0.02091,0.42792,0.04778,0.03376,0.02377,3.01328,6.79925,14.5374,3.01651,0.00156798,0.00156798,0.00156798
8,264.946,1.45818,2.44345,2.06718,1.59853,0.1945,0.26667,0.16201,0.06843,0.17432,0.16705,0.10848,0.03364,2.01224,4.71283,4.80454,2.0885,0.00155148,0.00155148,0.00155148
9,298.517,1.36818,2.37628,1.89145,1.49662,0.31837,0.31444,0.2316,0.09326,0.36638,0.33444,0.24362,0.09726,1.9466,4.56923,4.90376,2.26259,0.00153497,0.00153497,0.00153497
10,332.052,1.27987,2.3901,1.88283,1.49792,0.31117,0.35091,0.22124,0.12608,0.28921,0.35889,0.20703,0.10741,1.58565,3.01025,5.09998,1.93472,0.00151847,0.00151847,0.00151847
11,365.652,1.31745,2.33354,1.74023,1.50801,0.28486,0.35444,0.26278,0.11707,0.24763,0.35444,0.25811,0.11146,1.90778,3.23475,3.56487,2.05777,0.00150197,0.00150197,0.00150197
12,399.492,1.30625,2.16806,1.68844,1.47746,0.50749,0.55333,0.45734,0.23326,0.50749,0.55333,0.44211,0.2001,1.84371,2.91491,2.91921,2.08744,0.00148546,0.00148546,0.00148546
