epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5708,1.09818,1.83218,1.34936,0.6845,0.66313,0.70881,0.46964,1.11997,1.41842,1.46115,0.000368803,0.000368803,0.000368803
2,194.621,1.17056,1.31185,1.3939,0.67136,0.63583,0.67558,0.43646,1.17589,1.59016,1.4733,0.00072999,0.00072999,0.00072999
3,288.851,1.21668,1.32594,1.42332,0.6791,0.5974,0.61069,0.40726,1.16605,1.87236,1.51272,0.00108201,0.00108201,0.00108201
4,382.545,1.21595,1.2835,1.43464,0.66924,0.69792,0.71762,0.48221,1.12858,1.66479,1.46071,0.00106975,0.00106975,0.00106975
5,476.224,1.13943,1.15461,1.38779,0.75321,0.71237,0.77209,0.52426,1.06657,1.05021,1.40534,0.00105601,0.00105601,0.00105601
6,569.957,1.11346,1.07437,1.35901,0.81792,0.75914,0.8106,0.55002,1.08647,0.95718,1.42441,0.00104226,0.00104226,0.00104226
7,663.686,1.07898,1.00835,1.34494,0.77321,0.75526,0.81373,0.57266,1.0217,0.92135,1.36859,0.00102851,0.00102851,0.00102851
8,757.534,1.05193,0.96319,1.31835,0.78695,0.79128,0.84107,0.60366,1.00625,0.85423,1.39112,0.00101476,0.00101476,0.00101476
9,851.247,1.0315,0.94284,1.31079,0.83867,0.78841,0.86347,0.62536,0.95762,0.78602,1.37598,0.00100101,0.00100101,0.00100101
10,945.024,1.00097,0.87218,1.28207,0.80094,0.80093,0.85869,0.62316,0.99551,0.827,1.34764,0.000987262,0.000987262,0.000987262
11,1038.63,0.97448,0.86405,1.27209,0.85245,0.79505,0.86569,0.6283,0.97007,0.73745,1.32862,0.000973514,0.000973514,0.000973514
12,1132.36,0.96634,0.8237,1.26533,0.82703,0.796,0.86389,0.62939,0.95262,0.75046,1.31844,0.000959765,0.000959765,0.000959765
13,1226.03,0.95016,0.79748,1.2533,0.8594,0.77043,0.87054,0.64197,0.95659,0.76765,1.32014,0.000946016,0.000946016,0.000946016
14,1319.67,0.9441,0.78097,1.24747,0.87027,0.80651,0.88225,0.64822,0.92275,0.69326,1.31042,0.000932268,0.000932268,0.000932268
15,1413.38,0.91744,0.75619,1.23388,0.87163,0.82937,0.88471,0.66239,0.89085,0.66618,1.29667,0.000918519,0.000918519,0.000918519
16,1507.11,0.91816,0.74357,1.22215,0.83897,0.82638,0.88149,0.64859,0.93177,0.70788,1.33263,0.000904771,0.000904771,0.000904771
17,1600.72,0.90096,0.72908,1.21618,0.85771,0.85611,0.89174,0.66993,0.91418,0.66664,1.30777,0.000891022,0.000891022,0.000891022
18,1694.6,0.88693,0.70245,1.21261,0.88089,0.81471,0.88987,0.65934,0.91411,0.62848,1.29658,0.000877273,0.000877273,0.000877273
19,1788.15,0.86729,0.68028,1.19401,0.86221,0.82143,0.88534,0.66113,0.9069,0.64408,1.28529,0.000863525,0.000863525,0.000863525
20,1881.94,0.86042,0.67438,1.18902,0.88006,0.83498,0.89739,0.67674,0.88224,0.63784,1.27871,0.000849776,0.000849776,0.000849776
21,1975.6,0.85622,0.65271,1.19115,0.84653,0.86841,0.89864,0.68692,0.87472,0.6155,1.25737,0.000836027,0.000836027,0.000836027
22,2069.32,0.8411,0.64048,1.17783,0.88243,0.84114,0.89137,0.67389,0.90153,0.60596,1.29931,0.000822279,0.000822279,0.000822279
23,2162.85,0.83266,0.62631,1.17208,0.85658,0.84517,0.89939,0.68016,0.88521,0.62461,1.26709,0.00080853,0.00080853,0.00080853
24,2256.54,0.82481,0.61595,1.16122,0.85244,0.84373,0.89838,0.67983,0.88327,0.60874,1.29553,0.000794782,0.000794782,0.000794782
25,2350.18,0.82816,0.62244,1.16628,0.85545,0.83091,0.9029,0.69367,0.86406,0.61417,1.26611,0.000781033,0.000781033,0.000781033
26,2444.05,0.81518,0.60835,1.16422,0.88623,0.85441,0.91619,0.69591,0.87568,0.56737,1.2587,0.000767284,0.000767284,0.000767284
27,2537.9,0.8023,0.58723,1.13852,0.90501,0.82575,0.90379,0.69492,0.86413,0.58543,1.25542,0.000753536,0.000753536,0.000753536
28,2631.65,0.78683,0.57649,1.13059,0.87978,0.8547,0.9141,0.69775,0.87129,0.56104,1.26977,0.000739787,0.000739787,0.000739787
29,2725.34,0.79725,0.5862,1.14059,0.90056,0.84206,0.90858,0.69718,0.86046,0.60026,1.23956,0.000726038,0.000726038,0.000726038
30,2819.1,0.77745,0.56699,1.13451,0.89496,0.86429,0.91384,0.70169,0.87525,0.56763,1.26694,0.00071229,0.00071229,0.00071229
31,2912.89,0.77825,0.55989,1.12587,0.8793,0.85364,0.91239,0.7021,0.86592,0.56333,1.23189,0.000698541,0.000698541,0.000698541
32,3006.85,0.76039,0.55718,1.122,0.89909,0.86039,0.92318,0.70231,0.86941,0.55587,1.25406,0.000684793,0.000684793,0.000684793
33,3100.58,0.75873,0.53613,1.11745,0.86376,0.87965,0.91911,0.71145,0.84813,0.57116,1.22567,0.000671044,0.000671044,0.000671044
